key,condition,mode,term,seed,period,scale,run_id,wall_s,epochs_run,h0/direction/mcc,h0/direction/auc,h0/direction/brier,h0/direction/ece_pos,h0/direction/acc,h0/direction/bal_acc,h0/direction/pred_up_rate,h0/direction/true_up_rate,h0/direction/n_masked,h0/gauss_direction/mcc,h0/gauss_direction/auc,h0/gauss_direction/brier,h0/gauss_direction/ece_pos,h0/gauss_direction/acc,h0/gauss_direction/bal_acc,h0/gauss_direction/pred_up_rate,h0/gauss_direction/true_up_rate,h0/gauss_direction/n_masked,h0/delta/rmse,h0/delta/mae,h0/delta/ev,h0/delta/corr,h0/delta/skill_vs_zero,h0/variance/crps,h0/variance/nll,h0/variance/pit_ks,h0/variance/corr_var_err2_spearman,h0/variance/sigma_dispersion,h0/variance/coverage90,h0/variance/width90,h0/variance/crpss,h0/confidence_gap/gap,h0/n_eff,h1/direction/mcc,h1/direction/auc,h1/direction/brier,h1/direction/ece_pos,h1/direction/acc,h1/direction/bal_acc,h1/direction/pred_up_rate,h1/direction/true_up_rate,h1/direction/n_masked,h1/gauss_direction/mcc,h1/gauss_direction/auc,h1/gauss_direction/brier,h1/gauss_direction/ece_pos,h1/gauss_direction/acc,h1/gauss_direction/bal_acc,h1/gauss_direction/pred_up_rate,h1/gauss_direction/true_up_rate,h1/gauss_direction/n_masked,h1/delta/rmse,h1/delta/mae,h1/delta/ev,h1/delta/corr,h1/delta/skill_vs_zero,h1/variance/crps,h1/variance/nll,h1/variance/pit_ks,h1/variance/corr_var_err2_spearman,h1/variance/sigma_dispersion,h1/variance/coverage90,h1/variance/width90,h1/variance/crpss,h1/confidence_gap/gap,h1/n_eff,h2/direction/mcc,h2/direction/auc,h2/direction/brier,h2/direction/ece_pos,h2/direction/acc,h2/direction/bal_acc,h2/direction/pred_up_rate,h2/direction/true_up_rate,h2/direction/n_masked,h2/gauss_direction/mcc,h2/gauss_direction/auc,h2/gauss_direction/brier,h2/gauss_direction/ece_pos,h2/gauss_direction/acc,h2/gauss_direction/bal_acc,h2/gauss_direction/pred_up_rate,h2/gauss_direction/true_up_rate,h2/gauss_direction/n_masked,h2/delta/rmse,h2/delta/mae,h2/delta/ev,h2/delta/corr,h2/delta/skill_vs_zero,h2/variance/crps,h2/variance/nll,h2/variance/pit_ks,h2/variance/corr_var_err2_spearman,h2/variance/sigma_dispersion,h2/variance/coverage90,h2/variance/width90,h2/variance/crpss,h2/confidence_gap/gap,h2/n_eff,coherence/mag_order_full,coherence/unanimity,coherence/delta_dir_align_all,coherence/coherence_primary,backtest/n_trades,backtest/total_return,backtest/sharpe_net,backtest/sharpe_gross,backtest/sortino,backtest/max_drawdown,backtest/hit_rate,backtest/profit_factor,backtest/avg_hold_bars,backtest/exposure,backtest/turnover,backtest/fees_paid,backtest/costs_paid,backtest/gross_pnl,backtest/net_pnl
all_off__s0__P1,all_off,all_off,,0,P1,full,20260923T203258Z-6dec27a-ddfc658c-all_off__s0__P1,262.54005455970764,16,-0.03777288407848252,0.48851075651923115,0.2560997153894729,0.07322484943479983,0.4717019133937563,0.4818168070286714,0.6396777442094662,0.4634441087613293,4965.0,0.0,0.5,0.25,0.0365558912386707,0.5365558912386706,0.5,0.0,0.4634441087613293,4965.0,219.46333821751685,149.54435612734937,0.0,0.0,0.0,110.77622552028322,6.7527031140504645,0.047144795401225514,0.3766787303072615,0.22318999733768133,0.9231619679380874,733.91437716391,0.032443319979022056,0.011360803429869892,723.0,0.017536739747710924,0.5299519797914956,0.2509239118793856,0.05216916552184576,0.4878275413491916,0.5075263617883637,0.7585950566809143,0.4619959115406058,5381.0,0.0,0.5,0.25,0.03800408845939418,0.5380040884593942,0.5,0.0,0.4619959115406058,5381.0,270.0524728436226,182.76783292737701,0.0,0.0,0.0,136.95206069178323,6.955979529498258,0.07679246432259734,0.3148943358722315,0.15061671160321574,0.927860696517413,910.2512792816304,0.022440154579404514,0.005837453765206724,482.0,-0.00524693957493315,0.4992638326394593,0.25776449384732264,0.08685677066646842,0.46884955752212387,0.4988060960221033,0.9454867256637168,0.4663716814159292,5650.0,0.0,0.5,0.25,0.03362831858407078,0.5336283185840708,0.5,0.0,0.4663716814159292,5650.0,317.31717460413154,213.9626347429519,0.0,0.0,0.0,159.6151066817785,7.1289313132776915,0.0533822337898604,0.36508420275899545,0.21465580989921912,0.9249585406301825,1047.2564198386865,0.02740201727892755,-0.0014329055943284041,361.0,1.0,0.4253731343283582,0.01616915422885572,0.21475953565505804,350.0,-0.615139254628599,-146.2269679134237,-8.724639418013394,-164.43002756241003,0.6152910350530041,0.07714285714285714,0.030766100003005132,8.997142857142856,0.4351851851851852,453.09422066151734,4530.870623130075,5890.131810069106,-261.2607362168731,-6151.392546285979
all_off__s0__P2,all_off,all_off,,0,P2,full,20260923T204821Z-6dec27a-db86c2eb-all_off__s0__P2,410.98619318008423,20,0.04142370799192682,0.5142351387320705,0.2506613392670828,0.01909467004946529,0.5188026192703461,0.5205579436787784,0.4376052385406922,0.5139382600561272,5345.0,0.012651957147213011,0.5069198591058676,0.2524103125111804,0.032368822971087,0.5043966323666979,0.5062712405415047,0.4329279700654818,0.5139382600561272,5345.0,197.22159225847153,146.63000463362377,-0.007671590292697816,0.02317843842637798,-0.01029770063155011,106.028619261446,6.660768050750215,0.03913383896211409,0.2540329251542434,0.3371855139971167,0.9054726368159204,657.3474690622241,0.017054078135895767,-0.007102082414521149,723.0,0.02522316384927424,0.5215905923044093,0.24989115705756823,0.02217425799802939,0.5078111286642092,0.5120742249271615,0.3549236440231701,0.5146568369317185,5697.0,0.05335478069795433,0.521072951950048,0.25094653382126775,0.02973244501844488,0.5176408636124276,0.5240341656202433,0.28260487976127785,0.5146568369317185,5697.0,236.79350152273557,176.4023862486484,-0.0028817841545076828,0.03572467699814095,-0.005867992548566514,127.8985456825828,6.8537049300861845,0.04171271078385874,0.22910956287308964,0.3494687941626155,0.9139027086788281,808.0633373797729,0.012340948569782295,0.030628178482160984,482.0,0.06889718616220958,0.5434347909271426,0.24931173338768972,0.03328167382731529,0.5236636023152877,0.5314486963014974,0.29519918283963226,0.5188968335035751,5874.0,0.04167268953556064,0.5149302595137392,0.25222826453048025,0.04097238211181521,0.5091930541368743,0.5182912048414331,0.2599591419816139,0.5188968335035751,5874.0,270.1513110898387,201.67459043931058,-0.002211419616174659,0.04551733245776204,-0.007785572359120696,145.82893802049597,6.979367201373087,0.05193583063786489,0.22571091663507384,0.2952844223308875,0.914179104477612,931.5391670209132,0.013711190727169198,0.02320408096622051,361.0,0.42703150912106136,0.38723051409618575,0.2505527915975677,0.6050304035378662,256.0,-0.4667536671640332,-124.77249590627123,10.087574622640917,-142.27533675612264,0.467780293414397,0.07421875,0.03718723369272937,8.76171875,0.3099778883360973,381.3942684389425,3814.1580687114847,4958.40548932493,290.8688176845994,-4667.5366716403305
all_off__s1__P1,all_off,all_off,,1,P1,full,20260923T203725Z-6dec27a-41ade6b7-all_off__s1__P1,322.2475028038025,20,0.00862953086934841,0.505434296747856,0.2531119227795898,0.049666215691178135,0.5039274924471299,0.5043261155549291,0.5051359516616314,0.4634441087613293,4965.0,0.0,0.5,0.25,0.0365558912386707,0.5365558912386706,0.5,0.0,0.4634441087613293,4965.0,219.46333821751685,149.54435612734937,0.0,0.0,0.0,109.92986540719261,6.7063756241757755,0.04022591240708471,0.4026394058083815,0.3827506648351252,0.9231619679380874,733.91437716391,0.03983571286186305,0.014612915329136666,723.0,-0.013467539209351218,0.4883681604897617,0.2559445119137763,0.0805130042834842,0.46905779594870844,0.49508348652280054,0.842780152388032,0.4619959115406058,5381.0,0.035861487751227876,0.5194768076009766,0.24975288562856734,0.04065160740251124,0.5184909868054265,0.5179804139797721,0.49191600074335623,0.4619959115406058,5381.0,270.0814252885907,182.84182204639887,0.00086983122029749,0.050080730394758494,-0.0002144323780148838,135.04992641907472,6.931717893265151,0.04167621833171842,0.38757749131871205,0.38210203814087995,0.9285516860143725,908.0058579110884,0.036017533964610826,-0.020461971941221346,482.0,-0.008253330741231945,0.481099499340741,0.25376785426380133,0.06564579075518928,0.471858407079646,0.4972965658739824,0.8784070796460177,0.4663716814159292,5650.0,0.04227908903222805,0.5329890710898386,0.24942818509602493,0.039723759044265027,0.5168141592920354,0.5210280035622017,0.5612389380530973,0.4663716814159292,5650.0,316.4233050446917,213.81278537974197,0.007730880553506125,0.0880909578371593,0.0056259832987513025,158.22308381916795,7.093564312893808,0.044144171341421665,0.3570716200779867,0.3318236223404182,0.9264787175234936,1051.6393402101028,0.0358841632124941,-0.04012263175401698,361.0,0.7956053067993366,0.5786346047540077,0.16390270867882809,0.5450525152017689,321.0,-0.5449219590044918,-126.63186807567565,9.530507589858352,-147.61796016262565,0.5449219590044919,0.11214953271028037,0.06251287898142972,9.333333333333334,0.41404090657822,441.8744086864777,4418.793883905811,5744.43204907755,295.2124590326283,-5449.2195900449215
all_off__s1__P2,all_off,all_off,,1,P2,full,20260923T205517Z-6dec27a-1322b571-all_off__s1__P2,410.8034555912018,20,-0.026531260147633646,0.48454910430666476,0.25161844122835764,0.03833998300783489,0.48681010289990645,0.48672938187449505,0.5025257249766136,0.5139382600561272,5345.0,0.04116192566986284,0.5082514257978401,0.24980495454168214,0.02419843671536382,0.5092609915809168,0.5170687289065852,0.2203928905519177,0.5139382600561272,5345.0,196.1168378406247,145.62642254444697,0.002282164809179088,0.05911353895846703,0.0009891446058147846,105.84543769812639,6.648295824985268,0.05452388487085341,0.243707242519932,0.21256249071751115,0.9031232725262576,646.5661935938938,0.01875227596097262,-0.012209956812240685,723.0,-0.002967554853556063,0.49975336068424986,0.2509680316388741,0.02864233586572178,0.4960505529225908,0.4985371247986303,0.41513077058100756,0.5146568369317185,5697.0,-0.013823125649959807,0.47654440987889446,0.2502577417839887,0.02131367784354866,0.4886782517114271,0.49346563085143913,0.33649289099526064,0.5146568369317185,5697.0,236.411669504454,175.88539336068663,-0.0025813603817115283,0.0229239904490326,-0.002626662506244104,127.5345897380228,6.840841939411213,0.042540762757775435,0.23869713705989365,0.1933026805415582,0.9058872305140961,785.047524042557,0.015151491731536848,0.0012658475972952554,482.0,0.05988509593036707,0.5212244568155096,0.2513995053245642,0.04849594109804809,0.501532175689479,0.5170819610924431,0.0892066734763364,0.5188968335035751,5874.0,0.06836695018514825,0.5015823725325205,0.2525904927181937,0.047522409462992014,0.4986380660537964,0.5155045806376114,0.054307116104868915,0.5188968335035751,5874.0,271.15931917600534,201.64773018710886,-0.008608729599295595,0.02165980705293409,-0.015320247794224473,145.87478596905837,6.971152894115911,0.05734036321034691,0.2345296414071418,0.2479441019962461,0.906301824212272,905.6636141758045,0.013401106053927858,-0.030110515518496472,361.0,0.218767274737424,0.2906301824212272,0.25870646766169153,0.5474018794914317,221.0,-0.42945076444611263,-112.81896929658404,4.706772287998676,-130.60291309817092,0.4302458136499811,0.09502262443438914,0.03520386921910188,9.393665158371041,0.28703703703703703,340.99303049643584,3409.804877735688,4432.746341056393,138.2386965952621,-4294.507644461134
all_off__s2__P1,all_off,all_off,,2,P1,full,20260923T204253Z-6dec27a-f485097f-all_off__s2__P1,321.91825819015503,20,-0.007465815452945232,0.48498327205954317,0.2538671321779358,0.05816648985866113,0.47935548841893255,0.496706533782805,0.7375629405840887,0.4634441087613293,4965.0,0.0347925026580779,0.525691597725496,0.2498862169521748,0.039976078947967064,0.510171198388721,0.5171321908610045,0.5939577039274925,0.4634441087613293,4965.0,219.39752870536458,149.47531651258512,0.0013234769367438393,0.03918779572904698,0.0005996413403830392,110.12653994941698,6.7276789961198,0.043046266260255386,0.3797293710246853,0.36536823322828,0.9230237700386954,734.0662317961511,0.038117891495179856,-0.0277587466515139,723.0,-0.039499043004781235,0.4599340416869877,0.2595387355926946,0.09398904334360363,0.4575357740196989,0.48875123836836887,0.9115406058353466,0.4619959115406058,5381.0,0.0,0.5,0.25,0.03800408845939418,0.5380040884593942,0.5,0.0,0.4619959115406058,5381.0,270.0524728436226,182.76783292737701,0.0,0.0,0.0,135.21201872620298,6.935419782770036,0.04352545627576965,0.3717950423946844,0.3245233877506937,0.927860696517413,910.2512792816304,0.03486052376775972,-0.06687048775827259,482.0,0.02637988764616571,0.5330471614099018,0.251980116329104,0.06267173292760253,0.5021238938053098,0.5125728095764064,0.6545132743362831,0.4663716814159292,5650.0,0.0,0.5,0.25,0.03362831858407078,0.5336283185840708,0.5,0.0,0.4663716814159292,5650.0,317.31717460413154,213.9626347429519,0.0,0.0,0.0,158.96339117979298,7.119270940334263,0.04705639834617384,0.3539090097512262,0.305589531087343,0.9249585406301825,1047.2564198386865,0.03137317762656855,0.025003693340680477,361.0,0.0,0.6481481481481481,0.03247650635710337,0.07600884466556108,253.0,-0.47264277834867674,-105.73316804176248,3.945331069947756,-127.03774006360887,0.4726427783486767,0.1067193675889328,0.08402327224429698,12.229249011857707,0.4275843007186291,373.1438699366865,3731.2484129974373,4850.622936896664,124.19515340989831,-4726.427783486772
all_off__s2__P2,all_off,all_off,,2,P2,full,20260923T210213Z-6dec27a-60271b35-all_off__s2__P2,412.27306628227234,20,0.009242176834001217,0.5088117683424258,0.25111269061902014,0.03186666114993371,0.49597754911131897,0.5038219312943535,0.2187090739008419,0.5139382600561272,5345.0,-0.050263743324174014,0.46567660206263223,0.25056888307935427,0.03173138550538804,0.4753975678203929,0.4748747531424161,0.5180542563143125,0.5139382600561272,5345.0,196.4286549824535,145.84047908627426,-0.0021398372398844234,-0.04979253554370067,-0.0021901474487340256,105.47369840290247,6.652448552081542,0.031021387254743238,0.2550888592705834,0.30816269387616113,0.9028468767274738,643.5224455332223,0.022198511767703155,-0.018730405832698027,723.0,0.0026065372307416917,0.48873106878270334,0.251409845570833,0.022566030264601696,0.5006143584342636,0.5013023962067256,0.4765666140073723,0.5146568369317185,5697.0,-0.03604566405264339,0.4792456623798258,0.25120785539584434,0.0345700433345888,0.4830612603124452,0.482014140900804,0.535193961734246,0.5146568369317185,5697.0,236.97455178771858,176.14736982715522,-0.006708779713686441,-0.022392769439902507,-0.007406736528472013,127.42432354615441,6.848816550380945,0.025837095021205514,0.24105010511264918,0.30073078652893315,0.9098949695964621,797.9951879449666,0.01600299009599704,-0.05107919948790923,482.0,0.024192880036855206,0.49472325778810555,0.25329828100417356,0.048822749187672716,0.4977868573374191,0.5095039871608406,0.19033026898195438,0.5188968335035751,5874.0,-0.030613606877671347,0.46677934830863765,0.2519582505560036,0.03396273317312147,0.48621041879468846,0.4847280734016528,0.5386448757235274,0.5188968335035751,5874.0,270.1838852994501,200.82852659183393,-0.008027951984648451,-0.039756986809804606,-0.008028619838664097,145.63555255367854,6.979999776643772,0.03154690479405953,0.22449330184897176,0.29076000410558467,0.9134881149806523,919.4336591776243,0.015019119896695354,-0.03046541993600621,361.0,0.6090381426202321,0.34508015478164733,0.1341901603095633,0.4734660033167496,245.0,-0.47210954320189347,-124.09237482851012,2.077772995525621,-141.415203168477,0.47290191495121164,0.11836734693877551,0.05925786295896655,8.220408163265306,0.2783305693753455,367.6860502610547,3677.1897141814825,4780.346628435931,59.25119641697818,-4721.095432018949
all_on__s0__P1,all_on,all_on,,0,P1,full,20260923T195537Z-6dec27a-53cbe6af-all_on__s0__P1,325.06959199905396,20,-0.05349755902825682,0.4772705397705398,0.2580607051754232,0.09297061002949399,0.45820745216515607,0.47708815399493365,0.7599194360523666,0.4634441087613293,4965.0,0.0,0.5,0.25,0.0365558912386707,0.5365558912386706,0.5,0.0,0.4634441087613293,4965.0,219.46333821751685,149.54435612734937,0.0,0.0,0.0,109.5202857296561,6.679942230135883,0.04161881647039689,0.416473467681614,0.3692185024188334,0.9231619679380874,733.91437716391,0.043413119034893644,-0.017459470449381453,723.0,-0.018550759262666142,0.4918738719211001,0.253156957679695,0.055031075071531835,0.4763055194201821,0.49147627404310423,0.7002415907823825,0.4619959115406058,5381.0,0.0,0.5,0.25,0.03800408845939418,0.5380040884593942,0.5,0.0,0.4619959115406058,5381.0,270.0524728436226,182.76783292737701,0.0,0.0,0.0,133.83688259543766,6.870377729444635,0.049755787060714374,0.41469575471643816,0.41856779278774087,0.927860696517413,910.2512792816304,0.04467620566865915,-0.030989767284201275,482.0,-0.03607331706995327,0.4724914957156029,0.25862799242597473,0.08658578268420669,0.4626548672566372,0.48840994269638527,0.883716814159292,0.4663716814159292,5650.0,0.0,0.5,0.25,0.03362831858407078,0.5336283185840708,0.5,0.0,0.4663716814159292,5650.0,317.31717460413154,213.9626347429519,0.0,0.0,0.0,157.26435042248846,7.034071543409205,0.04832726235046969,0.41353469612096566,0.355798808883278,0.9249585406301825,1047.2564198386865,0.04172610503719132,-0.06006439959161236,361.0,1.0,0.5208678828081813,0.03247650635710337,0.2580154781647319,299.0,-0.5394721161546292,-125.68827896420689,-0.2910409886709617,-146.88866881626024,0.5395773397914793,0.10702341137123746,0.045759889771022424,8.521739130434783,0.3521282476506357,414.0087928470974,4139.692621980758,5381.600408574979,-13.120752971317474,-5394.721161546303
all_on__s0__P2,all_on,all_on,,0,P2,full,20260923T201204Z-6dec27a-f2f93af0-all_on__s0__P2,413.0245940685272,20,0.04359104848691507,0.5283657474470715,0.2507911760640248,0.03588068689011549,0.5135640785781104,0.5196370706597694,0.28269410664172123,0.5139382600561272,5345.0,-0.03567315589947263,0.48775093159225,0.25203449499294733,0.049316668982734777,0.4802619270346118,0.48236308179151555,0.4241347053320861,0.5139382600561272,5345.0,197.20400315885152,146.38258481537017,-0.008621117666955724,-0.007008792765919077,-0.010117502973831183,106.47741461566879,6.657038944534618,0.05255999307178311,0.24913126476258435,0.2648444865350285,0.9072692095080155,656.1223605928465,0.012893488605845493,0.006893524371400561,723.0,-0.007233831288082268,0.49326487792001456,0.2506759199446388,0.0193048473202775,0.4955239599789363,0.4963878657650568,0.4704230296647358,0.5146568369317185,5697.0,0.023370040542296695,0.5094312555353535,0.25108190525655427,0.022135420095781615,0.5102685624012638,0.5116395377810232,0.45357205546779006,0.5146568369317185,5697.0,236.71802641870923,176.3118750629359,-0.004618945151995124,0.03768216372723252,-0.005226877890358805,127.84298521594893,6.843687445192607,0.04123120667782243,0.24011690261831292,0.28155462831549083,0.9087893864013267,797.8232018635956,0.01276999799704337,-0.012381928520789232,482.0,0.04538103406707905,0.5309716045977267,0.24928093961974757,0.020286570686059057,0.520769492679605,0.5226033151110888,0.4523323118828737,0.5188968335035751,5874.0,0.024879833538885857,0.5112227711185784,0.25433379063448996,0.05122730089714334,0.5039155600953353,0.5114275623986492,0.30166836908409944,0.5188968335035751,5874.0,274.0416690795315,203.4735015242698,-0.026547241445605607,0.017884661942924946,-0.03702012682409772,147.5950567443561,6.98240018835073,0.06424039963599243,0.2331414004670736,0.24068971169051104,0.9087893864013267,929.3997970130295,0.0017663520906453511,0.03074849789127887,361.0,0.4695964621337756,0.33291873963515756,0.23244886677722498,0.6516030956329464,223.0,-0.4088768940218226,-106.02311362553262,13.860134154799203,-123.46057662411889,0.4088768940218226,0.11210762331838565,0.041699487911115676,9.201793721973095,0.2835820895522388,347.43931181511834,3474.5061365340334,4516.85797749425,428.0890372760287,-4088.7689402182164
all_on__s1__P1,all_on,all_on,,1,P1,full,20260923T200108Z-6dec27a-c41d9410-all_on__s1__P1,322.26080989837646,20,-0.00908169200854063,0.5033356368102131,0.2548101820832345,0.06416505266113613,0.4866062437059416,0.49558725935844583,0.6231621349446123,0.4634441087613293,4965.0,0.0030690212940297427,0.5061365146110909,0.25192583569133337,0.05548161673625153,0.4791540785498489,0.5012266993199196,0.8018126888217523,0.4634441087613293,4965.0,219.52580052695149,149.7265815733174,0.002450636338508505,0.04951341464513048,-0.0005693087397808938,109.83393762898439,6.712372812297755,0.04796424040201813,0.41955111570832915,0.40543445889982743,0.923852957435047,737.952652719017,0.04067357822664697,0.012921655732009263,723.0,-0.02839774957203682,0.47404692530328735,0.25932486490548895,0.09354928108776202,0.46478349749117265,0.48906525940777856,0.8202936257201263,0.4619959115406058,5381.0,0.05153207533693682,0.534412676445782,0.24990287276908685,0.04556993074311966,0.5047388961159636,0.5227884790404851,0.7357368518862665,0.4619959115406058,5381.0,269.8310321521309,182.57769709831152,0.0026861349220362873,0.05187814400149439,0.0016393103120679875,134.2285919833658,6.927521521536591,0.05180819221145866,0.4128230544837082,0.41282613014546066,0.9262023217247097,906.2030658799305,0.041880195394855435,-0.04660396822496354,482.0,-0.04710947517164312,0.4631990584710855,0.2551232548783526,0.07628629854936272,0.4598230088495575,0.482838810375699,0.8433628318584071,0.4663716814159292,5650.0,0.05696908801641405,0.5401842149153033,0.24954264396766515,0.03873114471939537,0.5138053097345133,0.526483647543434,0.6867256637168142,0.4663716814159292,5650.0,316.8328678862907,213.58850622758553,0.003919923433124528,0.08190377737688753,0.0030501792462213073,157.92561187396484,7.119669042202055,0.05385197961895427,0.4088270079644933,0.36831524388052395,0.9255113322277502,1052.99890774444,0.03769677744328537,-0.046190027938185996,361.0,0.09148700939745716,0.6826976229961305,0.5554173576561636,0.7776395798783858,306.0,-0.530606152356051,-122.61679026891258,10.36379817157088,-143.39403642023828,0.5314626785700599,0.13725490196078433,0.06722370363615573,10.99673202614379,0.4650359314538419,431.46042276498684,4314.269074483255,5608.549796828234,302.4882732677335,-5306.061523560505
all_on__s1__P2,all_on,all_on,,1,P2,full,20260923T201903Z-6dec27a-aa4aa01b-all_on__s1__P2,411.45242047309875,20,0.007233319798465195,0.5013748639778632,0.2514746252039877,0.027293960193584862,0.5034611786716557,0.5036178455438686,0.49448082319925163,0.5139382600561272,5345.0,0.0016239791077173893,0.4883576540773853,0.2508978524805848,0.03489616849936737,0.49466791393826004,0.5007314298781539,0.2825070159027128,0.5139382600561272,5345.0,197.09697352302126,145.85204658971307,-0.00791070674793004,0.022900652108261726,-0.009021347028684179,105.93062375743604,6.647832494919064,0.05047531039295394,0.24937044459917496,0.2535988336787095,0.9038142620232172,650.300406341994,0.017962552486486705,-0.010257091531834961,723.0,0.00038688513677611247,0.4949374489637325,0.2530877345772593,0.034312218808056745,0.4978058627347727,0.5001909465670323,0.4186413902053712,0.5146568369317185,5697.0,0.0014583676233065825,0.4844300837056462,0.25102391639957755,0.01843423137185535,0.49973670352817273,0.5007278295986914,0.46621028611549936,0.5146568369317185,5697.0,237.16697032670206,175.96003827875163,-0.0090751919686618,-0.005507948623628109,-0.009043388477260272,127.31872215900056,6.837633612685387,0.03743909296994152,0.2545178821118237,0.24811475309424327,0.9093421779988944,793.5316474174343,0.016818465872593724,-0.021653134471725177,482.0,-0.0494339463930692,0.4660912542513927,0.2517891781888716,0.040801370280150254,0.48144364998297584,0.476217393606054,0.6373850868232891,0.5188968335035751,5874.0,-0.022032739800795294,0.4828486141992336,0.25250506847555076,0.03641207941594792,0.489445011916922,0.4889788856010833,0.5119169220292816,0.5188968335035751,5874.0,271.2773345405962,201.31946472627337,-0.016211484089938333,-0.021323295262003092,-0.01620422600056015,145.9689531394637,6.970886946926287,0.04319311185297431,0.25391298575896865,0.24107234464473776,0.9108623548922057,920.8041088759098,0.01276422267788202,-0.011814657602542189,361.0,0.33181315644002213,0.4089275843007186,0.24682144831398561,0.5862354892205639,216.0,-0.44450729769490926,-123.41478308659939,-6.624192742130923,-138.59230000658752,0.445281365914094,0.05555555555555555,0.021265868159709603,9.046296296296296,0.2701768933112217,327.3698131039859,3273.9241072748437,4256.101339457289,-188.97163749179572,-4445.072976949089
