term,mode,metric,treatment,control,n_pairs,mean_delta,sd_delta,sigma_seed,mde,n_positive,n_negative,verdict,mode_verdict,term_verdict,tolerance
LAMBDA_T_PERP,leave_one_in,h1/variance/crpss,only:LAMBDA_T_PERP,all_off,6,0.003308594941288138,0.008481939963238878,0.0054922993424807295,0.005,4,2,NEUTRAL,INCONCLUSIVE,INCONCLUSIVE,
LAMBDA_T_PERP,leave_one_in,h1/variance/corr_var_err2_spearman,only:LAMBDA_T_PERP,all_off,6,0.019738565084038474,0.030514456876255664,0.027400808639026487,0.01,4,2,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,
LAMBDA_T_PERP,leave_one_out,h1/variance/crpss,all_on,without:LAMBDA_T_PERP,6,0.0014974321410431424,0.006067364975726698,0.005963616866431463,0.005,4,2,NEUTRAL,NEUTRAL,INCONCLUSIVE,
LAMBDA_T_PERP,leave_one_out,h1/variance/corr_var_err2_spearman,all_on,without:LAMBDA_T_PERP,6,-0.0005201495485052943,0.007701122119882799,0.0079472426259632,0.01,3,3,NEUTRAL,NEUTRAL,INCONCLUSIVE,
LAMBDA_CASIMIR,leave_one_in,h1/variance/crpss,only:LAMBDA_CASIMIR,all_off,6,-0.0014563508572149053,0.004662320673894098,0.0054922993424807295,0.005,3,3,NEUTRAL,NEUTRAL,NEUTRAL,
LAMBDA_CASIMIR,leave_one_in,h1/variance/corr_var_err2_spearman,only:LAMBDA_CASIMIR,all_off,6,0.0019072730074868687,0.011803518827130868,0.027400808639026487,0.01,3,3,NEUTRAL,NEUTRAL,NEUTRAL,
LAMBDA_CASIMIR,leave_one_in,h1/direction/auc,only:LAMBDA_CASIMIR,all_off,,-0.011701079612981086,,,,,,BREACH,NEUTRAL,NEUTRAL,0.01
LAMBDA_CASIMIR,leave_one_out,h1/variance/crpss,all_on,without:LAMBDA_CASIMIR,6,0.0020076894484608587,0.006942521353604137,0.005947812208037635,0.005,4,2,NEUTRAL,NEUTRAL,NEUTRAL,
LAMBDA_CASIMIR,leave_one_out,h1/variance/corr_var_err2_spearman,all_on,without:LAMBDA_CASIMIR,6,0.006794898510709395,0.01773322248526729,0.011982920404598646,0.01,4,2,NEUTRAL,NEUTRAL,NEUTRAL,
LAMBDA_HD,leave_one_in,h1/variance/crpss,only:LAMBDA_HD,all_off,6,0.0019427368767793347,0.00348657824276353,0.0054922993424807295,0.005,4,2,NEUTRAL,INCONCLUSIVE,INCONCLUSIVE,
LAMBDA_HD,leave_one_in,h1/variance/corr_var_err2_spearman,only:LAMBDA_HD,all_off,6,0.02643326006997394,0.012293635943287142,0.027400808639026487,0.01,6,0,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,
LAMBDA_HD,leave_one_in,h1/direction/auc,only:LAMBDA_HD,all_off,,-0.012554606443119945,,,,,,BREACH,INCONCLUSIVE,INCONCLUSIVE,0.01
