epoch,dir_loss,dir_loss_h0,dir_loss_h1,dir_loss_h2,extended_h0,extended_h1,extended_h2,global_h0,global_h1,global_h2,inter_reg,local_h0,local_h1,local_h2,loss,nll_h0,nll_h1,nll_h2,nll_loss,point_h0,point_h1,point_h2,point_loss,reg_loss,train_dir_acc_h0,train_dir_acc_h1,train_dir_acc_h2,train_dir_f1_h0,train_dir_f1_h1,train_dir_f1_h2,train_dir_mcc_h0,train_dir_mcc_h1,train_dir_mcc_h2,train_dir_sensitivity_h0,train_dir_sensitivity_h1,train_dir_sensitivity_h2,train_dir_specificity_h0,train_dir_specificity_h1,train_dir_specificity_h2,train_gauss_dir_acc_h0,train_gauss_dir_acc_h1,train_gauss_dir_acc_h2,train_gauss_dir_f1_h0,train_gauss_dir_f1_h1,train_gauss_dir_f1_h2,train_gauss_dir_mcc_h0,train_gauss_dir_mcc_h1,train_gauss_dir_mcc_h2,train_gauss_dir_sensitivity_h0,train_gauss_dir_sensitivity_h1,train_gauss_dir_sensitivity_h2,train_gauss_dir_specificity_h0,train_gauss_dir_specificity_h1,train_gauss_dir_specificity_h2,trend_h0,trend_h1,trend_h2,trend_loss,val_dir_acc_h0,val_dir_acc_h1,val_dir_acc_h2,val_dir_f1_h0,val_dir_f1_h1,val_dir_f1_h2,val_dir_loss,val_dir_loss_h0,val_dir_loss_h1,val_dir_loss_h2,val_dir_mcc_h0,val_dir_mcc_h1,val_dir_mcc_h2,val_dir_sensitivity_h0,val_dir_sensitivity_h1,val_dir_sensitivity_h2,val_dir_specificity_h0,val_dir_specificity_h1,val_dir_specificity_h2,val_extended_h0,val_extended_h1,val_extended_h2,val_gauss_dir_acc_h0,val_gauss_dir_acc_h1,val_gauss_dir_acc_h2,val_gauss_dir_f1_h0,val_gauss_dir_f1_h1,val_gauss_dir_f1_h2,val_gauss_dir_mcc_h0,val_gauss_dir_mcc_h1,val_gauss_dir_mcc_h2,val_gauss_dir_sensitivity_h0,val_gauss_dir_sensitivity_h1,val_gauss_dir_sensitivity_h2,val_gauss_dir_specificity_h0,val_gauss_dir_specificity_h1,val_gauss_dir_specificity_h2,val_global_h0,val_global_h1,val_global_h2,val_inter_reg,val_local_h0,val_local_h1,val_local_h2,val_loss,val_nll_h0,val_nll_h1,val_nll_h2,val_nll_loss,val_point_h0,val_point_h1,val_point_h2,val_point_loss,val_reg_loss,val_trend_h0,val_trend_h1,val_trend_h2,val_trend_loss,val_vol_loss,vol_loss
0,0.5828925967216492,0.16010968387126923,0.18789619207382202,0.23488670587539673,85.1153564453125,443.89190673828125,2480.927978515625,0.0,0.0,0.0,0.029861323535442352,0.0,0.0,0.0,3013.354736328125,-0.008617059327661991,0.42356953024864197,0.8178704380989075,1.2328228950500488,0.07844570279121399,0.2640434801578522,0.5236136317253113,0.8661028146743774,0.029861323535442352,0.550000011920929,0.5243902206420898,0.47058823704719543,0.0,0.0,0.6399999856948853,0.0,-0.10325782001018524,-0.1570672243833542,0.0,0.0,0.9523809552192688,1.0,0.9772727489471436,0.0,0.512499988079071,0.5121951103210449,0.42352941632270813,0.48000001907348633,0.6296296715736389,0.514851450920105,0.022620422765612602,0.10800707340240479,-0.16101384162902832,0.5,0.8947368264198303,0.6190476417541504,0.5227272510528564,0.1818181872367859,0.23255814611911774,85.1153564453125,443.89190673828125,2480.927978515625,3009.935302734375,0.9664570093154907,1.0,0.5744234919548035,0.0,0.0,0.0,0.5738436579704285,0.16218098998069763,0.24342623353004456,0.16823644936084747,0.0,0.0,0.0,0.0,0.0,0.0,0.9664570093154907,1.0,0.5744234919548035,231.4490509033203,1321.307373046875,3033.966552734375,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.029856456443667412,0.0,0.0,0.0,4590.29931640625,0.042810603976249695,0.45321202278137207,0.7336864471435547,1.2297091484069824,0.12362635135650635,0.31301432847976685,0.498373419046402,0.9350141286849976,0.029856456443667412,231.4490509033203,1321.307373046875,3033.966552734375,4586.72314453125,0.5502671003341675,0.4329701066017151
0,0.5828622579574585,0.16010026633739471,0.18788091838359833,0.23488110303878784,85.1153564453125,443.89190673828125,2480.927978515625,0.0,0.0,0.0,0.02986132726073265,0.0,0.0,0.0,3013.3544921875,-0.008619866333901882,0.4235422909259796,0.8178653717041016,1.232787847518921,0.0784512385725975,0.26402992010116577,0.5236106514930725,0.8660918474197388,0.02986132726073265,0.550000011920929,0.5243902206420898,0.47058823704719543,0.0,0.0,0.6399999856948853,0.0,-0.10325782001018524,-0.1570672243833542,0.0,0.0,0.9523809552192688,1.0,0.9772727489471436,0.0,0.512499988079071,0.5121951103210449,0.43529412150382996,0.48000001907348633,0.6296296715736389,0.5200000405311584,0.022620422765612602,0.10800707340240479,-0.13438589870929718,0.5,0.8947368264198303,0.6190476417541504,0.5227272510528564,0.1818181872367859,0.25581395626068115,85.1153564453125,443.89190673828125,2480.927978515625,3009.935302734375,0.9664570093154907,1.0,0.5744234919548035,0.0,0.0,0.0,0.573817789554596,0.1621818095445633,0.2434004545211792,0.16823552548885345,0.0,0.0,0.0,0.0,0.0,0.0,0.9664570093154907,1.0,0.5744234919548035,231.4490509033203,1321.307373046875,3033.966552734375,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.029856456443667412,0.0,0.0,0.0,4590.298828125,0.042809419333934784,0.4532114565372467,0.7337034940719604,1.229724407196045,0.12363535910844803,0.31304246187210083,0.4983783960342407,0.935056209564209,0.029856456443667412,231.4490509033203,1321.307373046875,3033.966552734375,4586.72314453125,0.5502535700798035,0.43298107385635376
1,0.46377986669540405,0.15569482743740082,0.15227706730365753,0.1558079719543457,175.52989196777344,1092.3504638671875,5425.1865234375,0.0,0.0,0.0,0.02983873523771763,0.0,0.0,0.0,6695.32275390625,-0.28531965613365173,0.2512519359588623,0.598137378692627,0.5640696287155151,0.0476248562335968,0.21806402504444122,0.4308795630931854,0.696568489074707,0.02983873523771763,0.3580246865749359,0.5058823823928833,0.4117647111415863,0.2571428716182709,0.38235294818878174,0.0,-0.1970713585615158,0.04369201138615608,-0.12729378044605255,0.18000000715255737,0.2888889014720917,0.0,0.6451612710952759,0.75,0.9722222089767456,0.43209877610206604,0.43529412150382996,0.4588235318660736,0.34285715222358704,0.5,0.25806450843811035,-0.02036161720752716,-0.14433756470680237,0.03346426039934158,0.23999999463558197,0.5333333611488342,0.16326530277729034,0.7419354915618896,0.32499998807907104,0.8611111044883728,175.52989196777344,1092.3504638671875,5425.1865234375,6693.06689453125,0.43396225571632385,0.9077568054199219,1.0,0.0,0.0,0.0,0.5287908315658569,0.17575719952583313,0.19926531612873077,0.15376831591129303,0.0,0.0,0.0,0.0,0.0,0.0,0.43396225571632385,0.9077568054199219,1.0,231.4490509033203,1321.307373046875,3033.966552734375,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.029832392930984497,0.0,0.0,0.0,4589.72021484375,-0.19716711342334747,0.355632483959198,0.7048061490058899,0.8632715344429016,0.10351058095693588,0.27181971073150635,0.49211376905441284,0.8674440383911133,0.029832392930984497,231.4490509033203,1321.307373046875,3033.966552734375,4586.72314453125,0.4476816952228546,0.2519949674606323
2,0.529362678527832,0.16950461268424988,0.19305770099163055,0.1668003648519516,154.0164031982422,620.6447143554688,2693.553466796875,0.0,0.0,0.0,0.02980121038854122,0.0,0.0,0.0,3469.871337890625,-0.6504035592079163,0.32079267501831055,0.4544079601764679,0.12479707598686218,0.034290920943021774,0.2494681030511856,0.34488144516944885,0.6286404728889465,0.02980121038854122,0.5199999809265137,0.4000000059604645,0.48235294222831726,0.1428571492433548,0.3855421841144562,0.0,-0.10045179724693298,-0.1870458424091339,0.0,0.09375,0.3404255211353302,0.0,0.8372092843055725,0.4736842215061188,1.0,0.6666666865348816,0.5882353186607361,0.5176470875740051,0.4444444179534912,0.5679012537002563,0.630630612373352,0.317153662443161,0.20286305248737335,0.018305089324712753,0.3125,0.4893617033958435,0.7954545617103577,0.930232584476471,0.7105262875556946,0.2195121943950653,154.0164031982422,620.6447143554688,2693.553466796875,3468.214599609375,0.48846960067749023,0.9098532199859619,1.0,0.0,0.0,0.0,0.5317009687423706,0.17228113114833832,0.20251671969890594,0.15690310299396515,0.0,0.0,0.0,0.0,0.0,0.0,0.48846960067749023,0.9098532199859619,1.0,231.4490509033203,1321.307373046875,3033.966552734375,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.029790937900543213,0.0,0.0,0.0,4589.50048828125,-0.4479573965072632,0.44627583026885986,0.6872029900550842,0.6855214238166809,0.06415591388940811,0.3486843407154083,0.4679527282714844,0.8807929754257202,0.029790937900543213,231.4490509033203,1321.307373046875,3033.966552734375,4586.72314453125,0.3712334632873535,0.08616048097610474
3,0.50303715467453,0.1618342399597168,0.17811423540115356,0.16308866441249847,160.99354553222656,925.3679809570312,5782.31591796875,0.0,0.0,0.0,0.02974679134786129,0.0,0.0,0.0,6871.326171875,-0.4496467709541321,0.3216533362865448,0.8366357088088989,0.7086422443389893,0.06374261528253555,0.27528175711631775,0.5382276773452759,0.8772520422935486,0.02974679134786129,0.47999998927116394,0.47058823704719543,0.42352941632270813,0.0,0.4303797781467438,0.03921568766236305,-0.11780808120965958,-0.014653747901320457,-0.02402370609343052,0.0,0.3469387888908386,0.020408162847161293,0.9729729890823364,0.6388888955116272,0.9722222089767456,0.47999998927116394,0.529411792755127,0.4588235318660736,0.0,0.5555555820465088,0.34285712242126465,-0.11780808120965958,0.06502650678157806,-0.005845122039318085,0.0,0.5102040767669678,0.2448979616165161,0.9729729890823364,0.5555555820465088,0.75,160.99354553222656,925.3679809570312,5782.31591796875,6868.677734375,0.9664570093154907,0.9538784027099609,0.8448637127876282,0.0,0.0,0.0,0.5224078893661499,0.16068534553050995,0.19882020354270935,0.1629023253917694,0.0,0.0,0.0,0.0,0.0,0.0,0.9664570093154907,0.9538784027099609,0.8448637127876282,231.4490509033203,1321.307373046875,3033.966552734375,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.029736194759607315,0.0,0.0,0.0,4589.4814453125,-0.5133944749832153,0.4233682155609131,0.742904782295227,0.6528785228729248,0.06276411563158035,0.3368186354637146,0.4650862514972687,0.8646689653396606,0.029736194759607315,231.4490509033203,1321.307373046875,3033.966552734375,4586.72314453125,0.41456007957458496,0.28227782249450684
4,0.48248419165611267,0.15236349403858185,0.15937145054340363,0.1707492470741272,163.5465087890625,1264.79296875,2230.4033203125,0.0,0.0,0.0,0.029687657952308655,0.0,0.0,0.0,3660.415771484375,-0.7274608612060547,0.25005295872688293,0.552915096282959,0.07550719380378723,0.040786635130643845,0.25444501638412476,0.39761608839035034,0.692847728729248,0.029687657952308655,0.5789473652839661,0.5679012537002563,0.529411792755127,0.0,0.3636363446712494,0.09090909361839294,0.0,0.05116591975092888,-0.16330011188983917,0.0,0.3125,0.06060606241226196,1.0,0.7346938848495483,0.8269230723381042,0.5921052694320679,0.4444444477558136,0.4000000059604645,0.06060606241226196,0.3283582031726837,0.5405405163764954,0.13540063798427582,-0.14412838220596313,-0.024794556200504303,0.03125,0.34375,0.9090909361839294,1.0,0.5102040767669678,0.07692307978868484,163.5465087890625,1264.79296875,2230.4033203125,3658.74267578125,1.0,0.9706498980522156,0.48218029737472534,0.0,0.0,0.0,0.5067691802978516,0.16016240417957306,0.17292767763137817,0.17367911338806152,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9706498980522156,0.48218029737472534,231.4490509033203,1321.307373046875,3033.966552734375,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.029673799872398376,0.0,0.0,0.0,4589.56103515625,-0.5189952254295349,0.5175576210021973,0.732658326625824,0.7312207221984863,0.06330504268407822,0.4086042642593384,0.47001731395721436,0.9419265985488892,0.029673799872398376,231.4490509033203,1321.307373046875,3033.966552734375,4586.72314453125,0.3601823151111603,0.14598879218101501
5,0.49834537506103516,0.1580214947462082,0.1703888177871704,0.16993504762649536,222.72830200195312,1608.3951416015625,3543.255615234375,0.0,0.0,0.0,0.029608672484755516,0.0,0.0,0.0,5376.73193359375,-0.635234534740448,0.3890303075313568,0.6465714573860168,0.40036723017692566,0.054859861731529236,0.3218078315258026,0.5143161416053772,0.8909838199615479,0.029608672484755516,0.5135135054588318,0.4642857015132904,0.4523809552192688,0.0,0.21052631735801697,0.20689654350280762,0.0,-0.0016881129704415798,0.10229562968015671,0.0,0.1304347813129425,0.11999999731779099,1.0,0.8684210777282715,0.9411764740943909,0.5135135054588318,0.523809552192688,0.5952380895614624,0.0,0.5454545021057129,0.6530612707138062,0.0,0.047836486250162125,0.16803359985351562,0.0,0.52173912525177,0.6399999856948853,1.0,0.5263158082962036,0.529411792755127,222.72830200195312,1608.3951416015625,3543.255615234375,5374.37890625,1.0,1.0,0.6163522005081177,0.0,0.0,0.0,0.5046418309211731,0.1613427847623825,0.17310987412929535,0.17018918693065643,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6163522005081177,231.4490509033203,1321.307373046875,3033.966552734375,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.029590269550681114,0.0,0.0,0.0,4589.51123046875,-0.47452297806739807,0.4658748507499695,0.7308716773986816,0.7222235202789307,0.06727530807256699,0.3776065409183502,0.4667225778102875,0.9116044044494629,0.029590269550681114,231.4490509033203,1321.307373046875,3033.966552734375,4586.72314453125,0.36323270201683044,0.2880045175552368
6,0.48401808738708496,0.16987423598766327,0.1566234529018402,0.15752041339874268,159.30397033691406,928.8184814453125,4227.40771484375,0.0,0.0,0.0,0.029518157243728638,0.0,0.0,0.0,5317.96240234375,-0.7710617184638977,0.29769614338874817,1.1089338064193726,0.6355682611465454,0.05774640291929245,0.2826060354709625,0.5677312612533569,0.9080836772918701,0.029518157243728638,0.3947368562221527,0.48235294222831726,0.4470588266849518,0.0,0.0833333358168602,0.2769230902194977,0.0,0.05259739235043526,0.011065667495131493,0.0,0.04444444552063942,0.18000000715255737,1.0,0.9750000238418579,0.8285714387893677,0.40789473056793213,0.4941176474094391,0.5176470875740051,0.042553193867206573,0.4941176176071167,0.6371681690216064,0.09325048327445984,-0.008333333767950535,-0.057788558304309845,0.021739130839705467,0.46666666865348816,0.7200000286102295,1.0,0.5249999761581421,0.22857142984867096,159.30397033691406,928.8184814453125,4227.40771484375,5315.5302734375,1.0,1.0,0.28092244267463684,0.0,0.0,0.0,0.5194682478904724,0.16162899136543274,0.17348700761795044,0.18435223400592804,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.28092244267463684,231.4490509033203,1321.307373046875,3033.966552734375,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.029500722885131836,0.0,0.0,0.0,4589.63232421875,-0.5116392970085144,0.5466464161872864,0.7375391721725464,0.7725462913513184,0.06380050629377365,0.44304949045181274,0.4727550745010376,0.9796050786972046,0.029500722885131836,231.4490509033203,1321.307373046875,3033.966552734375,4586.72314453125,0.3442295491695404,0.12981313467025757
7,0.47667181491851807,0.1539899706840515,0.16400328278541565,0.1586785763502121,226.784423828125,2185.491943359375,6937.10009765625,0.0,0.0,0.0,0.02942536771297455,0.0,0.0,0.0,9352.1484375,-0.6511348485946655,0.3827070891857147,0.7803823351860046,0.5119545459747314,0.06076129525899887,0.3730103075504303,0.6043017506599426,1.0380733013153076,0.02942536771297455,0.47560974955558777,0.4166666567325592,0.5421686768531799,0.0,0.0,0.40625,0.0,0.0,0.15533995628356934,0.0,0.0,0.2888889014720917,1.0,1.0,0.8421052694320679,0.46341463923454285,0.488095223903656,0.5542168617248535,0.37142857909202576,0.4691357910633087,0.593406617641449,-0.06019962951540947,0.016574839130043983,0.1002347394824028,0.302325576543808,0.3877550959587097,0.6000000238418579,0.6410256624221802,0.6285714507102966,0.5,226.784423828125,2185.491943359375,6937.10009765625,9349.376953125,1.0,1.0,0.27463310956954956,0.0,0.0,0.0,0.5386003851890564,0.1593364030122757,0.19974285364151,0.1795211285352707,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.27463310956954956,231.4490509033203,1321.307373046875,3033.966552734375,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.029407719150185585,0.0,0.0,0.0,4590.287109375,-0.4205053746700287,0.7563556432723999,0.8149219751358032,1.150772213935852,0.07355125993490219,0.5995914340019226,0.4770314693450928,1.1501741409301758,0.029407719150185585,231.4490509033203,1321.307373046875,3033.966552734375,4586.72314453125,0.40022748708724976,0.464418888092041
0,0.5706635117530823,0.17413926124572754,0.1548745036125183,0.24164976179599762,197.2900848388672,1159.4940185546875,3355.740234375,0.0,0.0,0.0,0.029866069555282593,0.0,0.0,0.0,4716.1279296875,0.08658546209335327,0.41079747676849365,0.8733287453651428,1.3707116842269897,0.09973528236150742,0.2817876636981964,0.5448674559593201,0.9263904094696045,0.029866069555282593,0.4883720874786377,0.4895833432674408,0.46875,0.0,0.07547169923782349,0.6382979154586792,-0.10846522450447083,-0.004344993270933628,-0.10696563124656677,0.0,0.040816325694322586,0.97826087474823,0.9767441749572754,0.957446813583374,0.0,0.5,0.5,0.4791666567325592,0.2950819730758667,0.6571428775787354,0.596774160861969,0.0,-0.04200642928481102,-0.020033417269587517,0.20930232107639313,0.9387755393981934,0.804347813129425,0.7906976938247681,0.042553190141916275,0.18000000715255737,197.2900848388672,1159.4940185546875,3355.740234375,4712.5244140625,0.9520833492279053,1.0,0.3916666805744171,0.0,0.0,0.0,0.6269951462745667,0.17100302875041962,0.28236567974090576,0.17362642288208008,0.0,0.0,0.0,0.0,0.0,0.0,0.9520833492279053,1.0,0.3916666805744171,230.55300903320312,1331.2562255859375,3052.3095703125,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.02986276149749756,0.0,0.0,0.0,4617.84765625,0.12679973244667053,0.45263099670410156,0.7080698609352112,1.2875006198883057,0.15093573927879333,0.2622981369495392,0.46921584010124207,0.882449746131897,0.02986276149749756,230.55300903320312,1331.2562255859375,3052.3095703125,4614.11865234375,0.6160051822662354,0.4431535005569458
